no,id,foreign,name,lat,long
230,3504,35,KABUPATEN TULUNGAGUNG,-8.0666667,111.9
231,3505,35,KABUPATEN BLITAR,-8.101441900000001,112.16276200000001
232,3506,35,KABUPATEN KEDIRI,-7.809356,112.03235600000001
233,3507,35,KABUPATEN MALANG,-8.0495643,112.68845490000001
234,3508,35,KABUPATEN LUMAJANG,-8.137022,113.226601
235,3509,35,KABUPATEN JEMBER,-8.172357,113.70030200000001
236,3510,35,KABUPATEN BANYUWANGI,-8.218611099999999,114.36694440000001
237,3511,35,KABUPATEN BONDOWOSO,-7.917704,113.813483
238,3512,35,KABUPATEN SITUBONDO,-7.702534,113.955605
239,3513,35,KABUPATEN PROBOLINGGO,-7.753964999999999,113.210675
240,3514,35,KABUPATEN PASURUAN,-6.8623098,108.8001936
241,3515,35,KABUPATEN SIDOARJO,-7.453027799999999,112.7173389
242,3516,35,KABUPATEN MOJOKERTO,-7.488075,112.427027
243,3517,35,KABUPATEN JOMBANG,-7.546839500000001,112.2264794
244,3518,35,KABUPATEN NGANJUK,-7.602932000000001,111.901808
245,3519,35,KABUPATEN MADIUN,-7.627753,111.50548300000001
246,3520,35,KABUPATEN MAGETAN,-7.6493413,111.33815929999999
247,3521,35,KABUPATEN NGAWI,-7.3899300000000006,111.46193000000001
248,3522,35,KABUPATEN BOJONEGORO,0.8826809999999999,124.46695659999999
249,3523,35,KABUPATEN TUBAN,-8.7493146,115.17112979999999
250,3524,35,KABUPATEN LAMONGAN,-7.406153,109.3946794
251,3525,35,KABUPATEN GRESIK,-7.15665,112.6555
252,3526,35,KABUPATEN BANGKALAN,-7.0306912,112.7450068
253,3527,35,KABUPATEN SAMPANG,-7.578255599999999,109.2058436
254,3528,35,KABUPATEN PAMEKASAN,-7.1666667,113.46666670000002
255,3529,35,KABUPATEN SUMENEP,-6.925399900000001,113.90606240000001
256,3571,35,KOTA KEDIRI,-7.809356,112.03235600000001
257,3572,35,KOTA BLITAR,-8.101441900000001,112.16276200000001
258,3573,35,KOTA MALANG,-8.0495643,112.68845490000001
259,3574,35,KOTA PROBOLINGGO,-7.753964999999999,113.210675
260,3575,35,KOTA PASURUAN,-6.8623098,108.8001936
261,3576,35,KOTA MOJOKERTO,-7.488075,112.427027
262,3577,35,KOTA MADIUN,-7.627753,111.50548300000001
263,3578,35,KOTA SURABAYA,-7.289166000000001,112.734398
